Symbol,Name,Sector,Average Percent Return,Average Daily Return,Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Dev of Daily Holding Period Return,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Dev of Daily Study Period Return,Earliest Data Date,Latest Data Date
NKE,Nike,Consumer Non-Durables,0.81%,0.15%,1.09,25,22.31%,2.13%,15.40%,4.09%,0.07%,-0.93%,0.00%,-6.67%,63,46.67%,40.00%,0.93,0.46,0.01,0.10,2.14%,01/02/1990,05/21/2015
PFE,Pfizer,Health Care,-0.82%,-0.15%,0.92,25,-18.68%,6.35%,12.76%,6.62%,0.04%,2.69%,0.12%,-49.63%,74,54.81%,64.00%,0.08,0.13,-0.06,-0.03,2.17%,01/02/1990,05/21/2015
PG,Procter & Gamble Company,Basic Industries,0.54%,0.10%,0.79,25,14.39%,1.35%,8.69%,2.33%,0.04%,0.21%,-0.10%,-4.73%,62,45.93%,56.00%,0.59,0.53,-0.03,0.10,1.48%,01/02/1990,05/21/2015
TRV,The Travelers Companies Inc,Finance,-0.28%,-0.05%,0.88,25,-6.74%,1.48%,9.18%,3.01%,0.04%,-1.02%,-0.13%,-6.85%,57,42.22%,36.00%,0.26,0.54,-0.14,-0.05,1.80%,01/02/1990,05/21/2015
UNH,United Health Group Inc.,Health Care,-1.56%,-0.29%,0.89,25,-32.57%,6.84%,13.40%,6.67%,0.09%,-0.53%,0.25%,-49.09%,72,53.33%,48.00%,0.55,0.12,-0.09,-0.06,2.80%,03/26/1990,05/21/2015
UTX,United Technologies Corp.,Capital Goods,0.78%,0.14%,1.13,25,21.45%,1.64%,11.86%,3.00%,0.04%,0.46%,0.03%,-6.02%,68,50.37%,56.00%,0.64,0.63,0.01,0.12,1.73%,01/02/1990,05/21/2015
V,Visa Inc.,Miscellaneous,0.83%,0.17%,0.65,7,5.97%,1.32%,6.22%,2.28%,0.09%,0.07%,0.20%,-2.79%,21,60.00%,57.14%,0.73,0.21,-0.27,0.34,2.18%,03/19/2008,05/21/2015
VZ,Verizon Communications Inc.,Public Utilities,-0.58%,-0.11%,0.89,25,-13.52%,2.06%,12.13%,3.76%,0.01%,-0.98%,-0.04%,-9.52%,64,47.41%,40.00%,0.50,0.39,-0.14,-0.07,1.64%,01/02/1990,05/21/2015
WMT,Wal-Mart Stores,Consumer Services,-0.30%,-0.06%,0.81,25,-7.32%,1.68%,10.30%,2.29%,0.04%,-0.33%,-0.07%,-5.09%,61,45.19%,40.00%,0.27,0.44,-0.13,-0.05,1.71%,01/02/1990,05/21/2015
XOM,Exxon Mobil Corp.,Energy,0.40%,0.07%,0.57,25,10.38%,1.43%,5.75%,2.92%,0.03%,0.87%,0.00%,-5.92%,66,48.89%,52.00%,0.89,0.36,-0.05,0.07,1.50%,01/02/1990,05/21/2015
^GSPC,S&P 500 Index,,0.85%,0.15%,1.00,35,34.42%,1.06%,7.76%,2.46%,0.03%,1.22%,0.03%,-4.21%,100,51.55%,60.00%,0.40,1.00,0.00,0.17,1.14%,01/02/1980,06/15/2015
