Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
ADBE,Adobe Systems Incorporated,Technology,0.72%,-0.14%,0.02%,0.14%,0.94%,0.02%,-0.07%,0.38,0.14,0.03%,1.44%,0.99%,1.28%,0.16%,0.02%,1.29,8,8.19%,0.24%,1.69%,0.35,11.09%,3.10%,0.03%,0.82%,2.01%,0.22%,-3.87%,28,58.33%,62.50%,0.59,0.18,0.78,-0.15,0.22,0.05%,2.30%,1.12,01/02/1990,08/21/2015
ADI,Analog Devices,Technology,0.87%,0.02%,0.03%,0.18%,1.27%,0.03%,-0.12%,0.64,0.14,0.03%,1.50%,1.70%,1.22%,0.28%,0.03%,1.17,8,14.44%,0.24%,1.66%,0.53,11.55%,2.71%,0.03%,0.77%,1.74%,0.13%,-1.74%,26,54.17%,50.00%,0.44,0.23,0.72,-0.01,0.39,0.04%,1.94%,0.93,01/02/1990,08/21/2015
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,1.02%,-0.28%,0.03%,0.27%,1.84%,0.03%,0.09%,0.86,0.22,0.04%,1.62%,-0.01%,1.26%,0.00%,0.03%,0.70,8,-0.09%,0.29%,2.06%,0.54,9.11%,4.16%,0.03%,0.70%,2.75%,0.18%,-12.34%,29,60.42%,50.00%,0.48,0.18,0.35,-0.29,0.00,0.05%,2.21%,1.01,01/02/1990,08/21/2015
ADP,Automatic Data Processing,Technology,0.65%,0.02%,0.04%,0.12%,0.83%,0.04%,-0.06%,0.89,0.48,0.03%,1.11%,1.45%,0.75%,0.24%,0.04%,0.77,8,12.18%,0.15%,1.02%,0.23,8.20%,2.67%,0.04%,0.75%,1.88%,0.10%,-4.46%,29,60.42%,75.00%,0.33,0.04,0.77,-0.08,0.54,0.03%,1.42%,0.78,01/02/1990,08/21/2015
ADS,Alliance Data Systems Corp.,Miscellaneous,1.36%,0.18%,0.07%,0.25%,1.73%,0.07%,-0.04%,0.91,0.01,0.05%,2.03%,2.88%,1.63%,0.47%,0.06%,1.12,8,25.50%,0.31%,2.15%,0.86,9.98%,3.57%,0.07%,2.65%,2.92%,0.40%,-2.41%,27,56.25%,75.00%,0.08,0.11,0.54,0.18,0.51,0.06%,2.64%,1.03,06/08/2001,08/21/2015
ADSK,Autodesk,Technology,0.80%,0.11%,0.01%,0.14%,0.99%,0.01%,0.08%,0.49,0.29,0.03%,1.52%,2.94%,1.51%,0.48%,0.00%,1.36,8,26.08%,0.27%,1.87%,0.34,17.92%,5.17%,0.02%,2.48%,4.15%,0.63%,-3.88%,32,66.67%,62.50%,0.05,0.33,0.75,0.21,0.60,0.06%,2.62%,1.24,07/14/1989,08/21/2015
ADT,ADT Corporation Common Stock W,Consumer Services,1.01%,0.14%,-0.06%,0.39%,1.36%,-0.05%,0.12%,0.73,0.25,0.08%,1.85%,1.55%,1.15%,0.26%,-0.01%,2.21,2,3.12%,0.42%,1.47%,0.46,3.40%,1.82%,-0.01%,1.57%,1.82%,0.31%,-0.27%,6,50.00%,50.00%,0.59,0.47,0.16,0.31,0.80,0.08%,1.82%,0.89,09/17/2012,08/21/2015
AEE,Ameren Corp.,Public Utilities,0.89%,-0.10%,0.00%,0.18%,1.21%,-0.01%,0.02%,0.57,0.13,0.03%,1.44%,0.84%,0.82%,0.14%,0.00%,0.53,8,6.94%,0.15%,1.04%,0.33,2.55%,1.44%,0.00%,1.42%,1.64%,0.11%,-2.05%,25,52.08%,75.00%,0.57,0.22,0.52,-0.23,0.31,0.03%,1.54%,0.75,01/02/1998,08/21/2015
AEP,American Electric Power Company,Public Utilities,1.24%,0.16%,0.03%,0.24%,1.67%,0.03%,0.02%,0.47,0.41,0.04%,1.63%,1.77%,1.06%,0.29%,0.02%,0.60,8,15.07%,0.18%,1.27%,0.94,4.15%,1.77%,0.03%,1.67%,1.66%,0.36%,0.14%,27,56.25%,100.00%,0.16,0.07,0.48,0.00,0.53,0.03%,1.45%,0.66,01/02/1990,08/21/2015
AES,The Aes Corp.,Basic Industries,0.95%,-0.08%,-0.01%,0.18%,1.22%,-0.01%,-0.05%,0.75,0.27,0.04%,1.56%,1.49%,1.60%,0.25%,-0.03%,1.42,8,12.52%,0.31%,2.14%,0.67,8.16%,3.55%,-0.02%,0.07%,2.88%,0.00%,-3.13%,23,47.92%,50.00%,0.64,0.49,0.68,-0.04,0.27,0.06%,2.70%,1.27,02/24/1992,08/21/2015
AET,Aetna Inc.,Health Care,1.33%,-0.36%,0.05%,0.24%,1.66%,0.04%,-0.31%,0.13,0.09,0.04%,1.97%,-0.48%,1.33%,-0.08%,0.04%,0.77,8,-3.79%,0.26%,1.79%,0.37,6.99%,4.73%,0.04%,0.53%,4.11%,-0.12%,-11.30%,20,41.67%,50.00%,0.58,0.21,0.44,-0.41,-0.10,0.05%,2.37%,0.97,07/03/1986,08/21/2015
AFL,Aflac Incorporated,Finance,0.54%,0.01%,0.02%,0.11%,0.78%,0.02%,0.02%,0.86,0.10,0.03%,1.37%,2.71%,1.42%,0.45%,0.01%,1.58,8,23.81%,0.29%,2.03%,0.48,16.09%,5.15%,0.02%,2.97%,4.22%,0.29%,-5.67%,29,60.42%,62.50%,0.19,0.28,0.80,0.16,0.51,0.07%,3.15%,1.55,01/02/1990,08/21/2015
AIG,American International Group,Finance,0.56%,-0.17%,-0.03%,0.11%,0.79%,-0.03%,-0.15%,0.23,0.04,0.06%,2.48%,1.29%,1.43%,0.21%,-0.18%,1.46,8,10.84%,0.30%,2.09%,0.08,9.34%,4.19%,-0.17%,1.59%,2.60%,0.14%,-10.53%,26,54.17%,75.00%,0.34,0.01,0.72,-0.07,0.24,0.13%,5.82%,1.98,01/02/1990,08/21/2015
AIV,Apartment Investment And Mgmt.,Consumer Services,0.88%,-0.10%,0.01%,0.17%,1.18%,0.01%,-0.10%,0.73,0.11,0.03%,1.33%,1.83%,1.94%,0.30%,0.00%,1.88,8,15.60%,0.41%,2.86%,0.79,10.67%,5.44%,0.01%,1.61%,5.71%,0.16%,-8.68%,27,56.25%,62.50%,0.33,0.39,0.68,0.01,0.25,0.08%,3.47%,1.75,07/22/1994,08/21/2015
AIZ,Assurant,Finance,0.69%,-0.09%,0.01%,0.15%,1.06%,0.01%,-0.10%,0.25,0.14,0.03%,1.47%,1.44%,1.38%,0.24%,0.01%,1.23,8,12.08%,0.26%,1.84%,0.63,7.48%,3.01%,0.02%,1.26%,2.48%,0.09%,-4.18%,25,52.08%,75.00%,0.70,0.44,0.69,-0.06,0.30,0.06%,2.61%,1.25,02/05/2004,08/21/2015
AKAM,Akamai Technologies,Miscellaneous,1.04%,0.31%,0.01%,0.22%,1.52%,0.02%,0.05%,0.38,0.22,0.05%,2.02%,4.56%,1.72%,0.75%,-0.01%,1.42,8,42.85%,0.34%,2.39%,0.32,25.20%,5.19%,0.01%,2.80%,2.80%,0.52%,-2.11%,29,60.42%,75.00%,0.09,0.20,0.61,0.40,0.72,0.07%,3.21%,1.27,10/29/1999,08/21/2015
ALL,Allstate Corporation,Finance,0.49%,-0.06%,0.00%,0.09%,0.63%,0.00%,0.02%,0.96,0.13,0.03%,1.29%,1.73%,1.03%,0.29%,0.00%,1.16,8,14.69%,0.21%,1.43%,0.27,7.84%,2.85%,0.01%,1.57%,2.75%,0.12%,-2.79%,28,58.33%,62.50%,0.29,0.11,0.83,0.00,0.46,0.06%,2.49%,1.28,09/09/1993,08/21/2015
ALLE,Allegion plc Ordinary Shares,Industrials,0.31%,-0.28%,-0.03%,0.20%,0.48%,-0.03%,-0.12%,0.78,0.01,0.08%,1.16%,-1.99%,0.74%,-0.33%,0.02%,N/A,1,-1.99%,0.39%,0.95%,0.23,-1.99%,2.03%,0.01%,-1.99%,2.03%,0.04%,-1.99%,3,50.00%,0.00%,0.61,0.20,0.15,N/A,N/A,0.10%,1.46%,1.11,11/18/2013,08/21/2015
ALTR,Altera Corp.,Technology,1.05%,0.02%,0.03%,0.19%,1.35%,0.03%,-0.19%,0.76,0.48,0.04%,1.70%,1.83%,1.40%,0.30%,0.03%,1.14,8,15.60%,0.26%,1.81%,0.41,10.85%,2.33%,0.04%,0.85%,1.07%,0.09%,-0.96%,26,54.17%,62.50%,0.46,0.29,0.65,0.01,0.39,0.05%,2.28%,1.01,01/02/1990,08/21/2015
ALXN,Alexion Pharmaceuticals,Health Care,1.32%,0.45%,0.17%,0.24%,1.63%,0.18%,0.28%,0.22,0.11,0.06%,2.45%,3.68%,1.55%,0.60%,0.13%,1.19,8,33.54%,0.26%,1.80%,0.45,13.08%,3.80%,0.14%,1.94%,1.94%,0.76%,-0.46%,30,62.50%,87.50%,0.06,0.40,0.68,0.35,0.77,0.05%,2.37%,0.84,02/28/1996,08/21/2015
AMAT,Applied Materials,Technology,0.93%,0.20%,0.01%,0.17%,1.15%,0.01%,-0.03%,0.39,0.49,0.03%,1.49%,3.13%,1.41%,0.51%,0.00%,1.18,8,27.96%,0.25%,1.73%,0.50,11.47%,3.80%,0.02%,1.57%,1.69%,0.00%,-1.30%,23,47.92%,75.00%,0.12,0.38,0.70,0.26,0.69,0.05%,2.24%,1.08,01/02/1990,08/21/2015
AME,Amtek,Consumer Durables,0.85%,0.27%,0.05%,0.17%,1.19%,0.06%,0.03%,0.38,0.27,0.03%,1.17%,3.42%,1.23%,0.56%,0.06%,1.21,8,30.85%,0.25%,1.72%,0.80,17.41%,4.21%,0.07%,2.81%,2.81%,0.36%,-2.28%,30,62.50%,75.00%,0.12,0.30,0.72,0.31,0.75,0.04%,1.91%,1.03,01/02/1990,08/21/2015
AMG,Affiliated Managers Group,Finance,0.61%,0.04%,0.02%,0.12%,0.83%,0.02%,-0.12%,0.74,0.46,0.03%,1.16%,3.34%,1.54%,0.55%,0.02%,1.54,8,30.10%,0.30%,2.12%,0.28,16.14%,4.46%,0.03%,3.71%,3.71%,0.54%,-2.99%,31,64.58%,62.50%,0.15,0.14,0.75,0.26,0.60,0.07%,3.13%,1.70,06/29/1998,08/21/2015
AMGN,Amgen Inc.,Health Care,1.06%,-0.07%,0.06%,0.19%,1.31%,0.06%,-0.21%,0.64,0.10,0.05%,2.21%,0.86%,0.96%,0.14%,0.04%,0.77,8,7.10%,0.17%,1.17%,0.21,5.92%,2.55%,0.04%,-0.23%,2.83%,0.10%,-2.85%,27,56.25%,50.00%,0.52,0.28,0.67,-0.22,0.28,0.04%,1.76%,0.67,01/02/1990,08/21/2015
AMP,Ameriprise Financial Services,Finance,0.65%,-0.19%,0.03%,0.15%,1.06%,0.03%,-0.02%,0.30,0.36,0.02%,1.08%,0.92%,1.71%,0.15%,0.05%,1.38,8,7.59%,0.34%,2.35%,0.64,10.98%,5.87%,0.05%,2.87%,3.12%,0.43%,-16.42%,29,60.42%,75.00%,0.35,0.41,0.60,-0.12,0.15,0.07%,3.17%,1.76,10/03/2005,08/21/2015
AMT,American Tower Corp.,Consumer Services,0.85%,-0.08%,0.05%,0.17%,1.16%,0.05%,-0.19%,0.26,0.13,0.03%,1.47%,1.19%,1.16%,0.20%,0.05%,0.84,8,9.95%,0.20%,1.40%,0.55,5.41%,3.24%,0.05%,1.13%,3.40%,0.33%,-3.92%,27,56.25%,50.00%,0.51,0.32,0.62,-0.12,0.33,0.04%,1.96%,0.95,06/05/1998,08/21/2015
AMZN,Amazon,Consumer Services,1.07%,-0.13%,0.11%,0.19%,1.32%,0.10%,-0.07%,0.44,0.43,0.05%,2.04%,1.01%,1.37%,0.17%,0.11%,0.95,8,8.35%,0.25%,1.77%,0.14,11.09%,3.43%,0.11%,1.17%,1.92%,0.21%,-5.00%,25,52.08%,75.00%,0.81,0.09,0.55,-0.14,0.22,0.06%,2.76%,1.11,05/15/1997,08/21/2015
AN,Autonation,Consumer Durables,0.84%,-0.04%,0.04%,0.16%,1.10%,0.04%,-0.01%,0.80,0.15,0.04%,1.78%,1.76%,1.51%,0.29%,0.04%,1.46,8,14.94%,0.28%,1.99%,0.42,15.73%,4.28%,0.04%,1.74%,2.87%,-0.01%,-4.41%,23,47.92%,62.50%,0.52,0.37,0.75,0.00,0.34,0.06%,2.77%,1.20,04/06/1999,08/21/2015
AON,Aon Plc,Finance,0.93%,0.15%,0.06%,0.18%,1.25%,0.07%,0.16%,0.51,0.20,0.04%,1.80%,1.80%,0.95%,0.30%,0.04%,0.93,8,15.30%,0.18%,1.26%,0.49,9.11%,2.54%,0.05%,0.89%,1.77%,0.25%,-1.98%,30,62.50%,62.50%,0.16,0.31,0.76,0.01,0.54,0.04%,1.58%,0.69,01/02/1990,08/21/2015
APA,Apache Corp.,Energy,0.90%,0.14%,0.01%,0.18%,1.25%,0.01%,0.03%,0.74,0.34,0.03%,1.29%,3.20%,1.61%,0.53%,0.01%,1.28,8,28.69%,0.30%,2.06%,0.83,13.70%,3.48%,0.02%,1.18%,1.24%,0.35%,-0.65%,28,58.33%,62.50%,0.26,0.36,0.64,0.24,0.59,0.06%,2.46%,1.27,01/02/1990,08/21/2015
APC,Anadarko Petroleum Corp.,Energy,1.36%,-0.13%,0.04%,0.35%,2.43%,0.03%,-0.12%,0.59,0.08,0.03%,1.39%,0.96%,2.18%,0.16%,0.04%,1.80,8,7.94%,0.58%,4.08%,0.99,10.01%,2.83%,0.05%,1.04%,1.34%,0.18%,-6.72%,25,52.08%,62.50%,0.74,0.33,0.46,-0.07,0.09,0.06%,2.84%,1.41,01/02/1990,08/21/2015
APD,Air Products And Chemicals,Basic Industries,0.67%,0.00%,0.03%,0.12%,0.84%,0.03%,0.07%,0.99,0.47,0.03%,1.11%,1.80%,1.18%,0.30%,0.04%,1.17,8,15.34%,0.21%,1.48%,0.73,10.64%,2.91%,0.04%,1.12%,2.06%,0.16%,-3.62%,28,58.33%,62.50%,0.39,0.37,0.81,0.01,0.46,0.04%,1.91%,1.05,01/02/1990,08/21/2015
APH,Amphenol Corp.,Capital Goods,0.78%,0.04%,0.05%,0.15%,1.05%,0.05%,-0.02%,0.71,0.31,0.03%,1.22%,2.34%,1.35%,0.39%,0.05%,1.07,8,20.33%,0.24%,1.66%,0.75,7.64%,2.67%,0.06%,2.07%,2.06%,0.14%,-1.18%,27,56.25%,75.00%,0.15,0.26,0.66,0.11,0.54,0.05%,2.21%,1.18,01/03/1994,08/21/2015
ARG,Airgas,Capital Goods,0.86%,-0.14%,0.06%,0.15%,1.07%,0.05%,-0.15%,0.29,0.15,0.04%,1.65%,0.92%,0.99%,0.15%,0.06%,0.63,8,7.58%,0.18%,1.24%,0.26,6.79%,2.60%,0.06%,0.68%,2.26%,0.13%,-3.98%,27,56.25%,62.50%,0.82,0.40,0.52,-0.20,0.28,0.05%,2.29%,1.07,01/02/1990,08/21/2015
AVB,Avalonbay Communities,Consumer Services,0.93%,-0.14%,0.02%,0.18%,1.22%,0.01%,-0.11%,0.55,0.29,0.03%,1.28%,1.14%,1.74%,0.19%,0.02%,1.48,8,9.49%,0.33%,2.31%,0.87,12.32%,5.55%,0.02%,0.58%,6.72%,0.23%,-9.19%,26,54.17%,75.00%,0.54,0.21,0.66,-0.09,0.19,0.06%,2.73%,1.41,06/05/1998,08/21/2015
AVGO,Avago Technologies,Technology,0.73%,-0.14%,0.08%,0.16%,0.89%,0.08%,-0.01%,0.37,0.05,0.04%,1.58%,2.46%,0.98%,0.41%,0.13%,0.74,5,12.90%,0.22%,1.23%,0.00,4.52%,2.58%,0.14%,3.36%,3.36%,0.18%,-0.30%,17,56.67%,80.00%,0.45,0.01,0.54,-0.14,0.96,0.06%,2.22%,1.17,08/06/2009,08/21/2015
AVY,Avery Dennison Corp.,Consumer Durables,0.80%,-0.01%,-0.01%,0.15%,1.02%,-0.01%,-0.13%,0.36,0.17,0.03%,1.26%,1.76%,1.18%,0.29%,-0.01%,1.27,8,14.99%,0.24%,1.70%,0.47,11.43%,3.90%,-0.01%,1.33%,2.41%,0.13%,-4.22%,26,54.17%,62.50%,0.59,0.14,0.77,0.00,0.40,0.05%,2.09%,1.08,01/02/1990,08/21/2015
AXP,American Express Company,Finance,0.60%,-0.07%,0.02%,0.14%,0.97%,0.01%,-0.09%,0.47,0.03,0.02%,1.10%,2.00%,1.28%,0.33%,0.02%,1.13,8,17.17%,0.27%,1.85%,0.22,5.66%,2.37%,0.03%,1.82%,1.82%,0.15%,-0.79%,29,60.42%,75.00%,0.48,0.03,0.63,0.05,0.41,0.06%,2.78%,1.53,01/02/1990,08/21/2015
AZO,Autozone,Consumer Services,1.61%,-0.05%,0.11%,0.32%,2.21%,0.11%,0.15%,0.93,0.13,0.05%,2.14%,0.88%,1.14%,0.15%,0.07%,0.48,8,7.26%,0.22%,1.52%,0.83,5.04%,1.92%,0.08%,0.69%,1.04%,0.02%,-2.92%,24,50.00%,62.50%,0.68,0.22,0.32,-0.18,0.22,0.04%,1.68%,0.65,01/03/1994,08/21/2015
BA,Boeing Company,Capital Goods,0.89%,0.10%,0.02%,0.17%,1.15%,0.02%,0.06%,0.52,0.35,0.03%,1.36%,2.26%,1.18%,0.37%,0.02%,0.96,8,19.54%,0.21%,1.50%,0.46,9.82%,4.51%,0.03%,1.21%,4.26%,0.43%,-5.94%,27,56.25%,50.00%,0.12,0.35,0.65,0.11,0.57,0.04%,1.94%,0.98,01/02/1990,08/21/2015
BAC,Bank of America Corp.,Finance,0.69%,0.04%,-0.01%,0.15%,1.02%,-0.01%,-0.10%,0.82,0.22,0.03%,1.45%,3.94%,1.91%,0.65%,-0.07%,1.83,8,36.18%,0.40%,2.78%,0.44,15.19%,4.15%,-0.05%,1.34%,1.39%,0.16%,-0.59%,30,62.50%,75.00%,0.13,0.16,0.68,0.28,0.54,0.09%,4.18%,2.04,01/02/1980,08/21/2015
BAX,Baxter International Inc.,Health Care,1.22%,0.30%,0.04%,0.23%,1.61%,0.04%,0.29%,0.38,0.44,0.05%,2.03%,2.07%,0.90%,0.34%,0.02%,0.62,8,17.77%,0.16%,1.13%,0.45,4.53%,2.07%,0.03%,1.78%,1.78%,0.37%,0.92%,29,60.42%,100.00%,0.09,0.40,0.56,0.08,0.70,0.03%,1.46%,0.58,06/09/1987,08/21/2015
BBBY,Bed Bath & Beyond Inc.,Consumer Services,1.12%,0.11%,0.02%,0.21%,1.43%,0.02%,0.43%,0.10,0.09,0.04%,1.69%,2.32%,1.34%,0.38%,0.02%,0.93,8,20.16%,0.25%,1.71%,0.58,7.60%,3.36%,0.03%,2.50%,3.56%,0.61%,-3.12%,33,68.75%,62.50%,0.03,0.47,0.55,0.11,0.52,0.05%,2.18%,0.98,01/03/1994,08/21/2015
BBT,BB&T Corp.,Finance,0.75%,0.04%,0.01%,0.15%,1.02%,0.01%,0.15%,0.28,0.46,0.03%,1.39%,2.82%,1.50%,0.47%,0.00%,1.29,8,24.96%,0.28%,1.97%,0.49,8.84%,3.49%,0.01%,2.59%,2.93%,0.43%,-2.57%,31,64.58%,87.50%,0.07,0.40,0.67,0.18,0.54,0.06%,2.86%,1.43,10/09/1991,08/21/2015
BBY,Best Buy Co.,Consumer Services,1.44%,0.43%,-0.01%,0.25%,1.70%,0.00%,0.55%,0.04,0.05,0.05%,2.18%,4.53%,1.77%,0.74%,-0.03%,0.81,8,42.53%,0.28%,1.97%,0.58,16.59%,5.86%,-0.01%,4.10%,4.19%,1.22%,-3.44%,31,64.58%,75.00%,0.01,0.15,0.42,0.47,0.87,0.06%,2.79%,1.05,01/02/1990,08/21/2015
BCR,C.R. Bard,Health Care,1.24%,-0.14%,0.06%,0.25%,1.71%,0.05%,0.04%,0.51,0.17,0.05%,2.19%,0.44%,0.83%,0.07%,0.03%,0.81,8,3.59%,0.17%,1.17%,0.44,4.04%,1.91%,0.03%,0.80%,1.34%,0.08%,-4.29%,26,54.17%,75.00%,0.93,0.25,0.71,-0.32,0.15,0.03%,1.34%,0.51,01/02/1990,08/21/2015
BDX,Becton Dickinson And Company,Health Care,0.93%,0.02%,0.05%,0.16%,1.14%,0.05%,0.04%,0.98,0.06,0.04%,1.92%,0.99%,0.70%,0.16%,0.03%,0.64,8,8.17%,0.13%,0.89%,0.15,3.64%,1.46%,0.03%,0.88%,0.98%,0.17%,-0.86%,29,60.42%,62.50%,0.38,0.13,0.73,-0.21,0.43,0.03%,1.28%,0.53,01/02/1990,08/21/2015
BEN,Franklin Resources,Finance,0.66%,0.10%,0.01%,0.13%,0.91%,0.01%,0.01%,0.70,0.26,0.02%,0.88%,3.57%,1.71%,0.59%,0.01%,1.62,8,32.41%,0.31%,2.18%,0.95,7.54%,4.01%,0.03%,4.08%,4.08%,0.46%,-1.35%,29,60.42%,75.00%,0.09,0.29,0.76,0.28,0.62,0.06%,2.61%,1.55,01/02/1990,08/21/2015
BF.B,Brown Forman Inc B,,1.18%,0.21%,0.08%,0.24%,1.63%,0.08%,0.07%,0.68,0.29,0.04%,1.79%,2.00%,0.98%,0.33%,0.06%,0.80,8,17.20%,0.20%,1.37%,0.55,9.57%,3.34%,0.06%,1.58%,2.39%,0.21%,-2.70%,31,64.58%,62.50%,0.18,0.16,0.60,0.06,0.56,0.03%,1.55%,0.67,05/25/1999,08/21/2015
